product_name,absolute_price_elasticities,price_elasticity,mean_price,mean_qty,beta_coeff
PL HONEY NUT TOASTD OATS,0.012211786,0.012211786,1.759,22,0.152734102
PL RAISIN BRAN,0.015315387,-0.015315387,1.756,31,-0.270374141
SHURGD MINI PRETZELS,0.015733123,-0.015733123,1.756,24,-0.215031288
SHURGD PRETZEL STICKS,0.016176649,-0.016176649,1.764,24,-0.220090469
PL BT SZ FRSTD SHRD WHT,0.023708495,-0.023708495,2.137,39,-0.432677254
SHURGD PRETZEL RODS,0.028350706,-0.028350706,1.829,18,-0.279011873
PL PRETZEL STICKS,0.030506039,0.030506039,1.299,45,1.05679119
PL MINI TWIST PRETZELS,0.03449976,0.03449976,1.297,56,1.489580991
GM CHEERIOS,0.03955514,-0.03955514,3.518,37,-0.416014833
GM HONEY NUT CHEERIOS,0.050762945,-0.050762945,2.767,67,-1.229171407
KELL BITE SIZE MINI WHEAT,0.061288894,-0.061288894,3.165,33,-0.639031122
PL TWIST PRETZELS,0.085195591,0.085195591,1.309,22,1.431858669
KELL FROSTED FLAKES,0.085371251,-0.085371251,2.89,47,-1.38839058
POST HNY BN OTS HNY RSTD,0.08707504,-0.08707504,3.194,29,-0.790599921
POST FM SZ HNYBNCH OT ALM,0.111791413,-0.111791413,3.219,26,-0.902944001
PL SR CRUST PEPPRN PIZZA,0.123357278,-0.123357278,3.593,15,-0.514990029
QKER CAP N CRUNCH BERRIES,0.124130324,-0.124130324,2.49,33,-1.645100683
KELL FROOT LOOPS,0.13209427,-0.13209427,2.932,38,-1.711999407
POST FRUITY PEBBLES,0.137912194,-0.137912194,2.557,29,-1.564119528
SNYDR SOURDOUGH NIBBLERS,0.160309557,-0.160309557,2.837,13,-0.734587326
DIGRN PEPP PIZZA,0.171616889,-0.171616889,5.98,22,-0.631366483
SNYDR FF MINI PRETZELS,0.171982882,-0.171982882,2.839,12,-0.7269442
PL SR CRUST SUPRM PIZZA,0.183139641,-0.183139641,3.579,12,-0.614047413
QKER CAP N CRUNCH,0.197195665,-0.197195665,2.48,24,-1.908345142
RLDGLD BRAIDED HONEY WHT,0.197246948,-0.197246948,2.886,9,-0.615115223
PL SR CRUST 3 MEAT PIZZA,0.197331865,-0.197331865,3.576,13,-0.717369756
RLDGLD TINY TWISTS PRTZL,0.203852651,-0.203852651,2.886,14,-0.988890197
QKER LIFE ORIGINAL,0.235799375,-0.235799375,2.74,17,-1.462988825
SNYDR PRETZEL RODS,0.24367077,-0.24367077,2.339,11,-1.145950606
DIGRN SUPREME PIZZA,0.247424731,-0.247424731,5.976,16,-0.662449078
MKSL DUTCH PRETZELS,0.258193222,-0.258193222,2.271,7,-0.795839961
RLDGLD PRETZEL STICKS,0.267238595,-0.267238595,2.883,11,-1.01964084
MKSL MINI TWIST PRETZELS,0.350118424,-0.350118424,2.268,7,-1.080612421
DIGIORNO THREE MEAT,0.365023736,-0.365023736,5.969,12,-0.733838974
NWMN OWN 4 CHEESE PIZZA,0.462742113,-0.462742113,6.018,7,-0.538251046
NWMN OWN PEPPERONI PIZZA,0.504561362,-0.504561362,6.019,7,-0.586796732
MKSL PRETZEL STICKS,0.513701323,-0.513701323,2.259,5,-1.137010455
FRSC BRCK OVN ITL PEP PZ,0.592015305,-0.592015305,6.319,8,-0.749505054
FRSC PEPPERONI PIZZA,0.611358563,-0.611358563,6.304,8,-0.77583574
FRSC 4 CHEESE PIZZA,0.692589042,-0.692589042,6.307,6,-0.658876526
NWMN OWN SUPREME PIZZA,0.755374172,-0.755374172,6.029,5,-0.626450632
